"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 14:33:33 GMT 2024","Mon Apr 08 14:33:33 GMT 2024","331","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Mon Apr 08 14:33:33 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","349","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:43 GMT 2024","8542","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"passed","Mon Apr 08 14:33:33 GMT 2024","Mon Apr 08 14:33:33 GMT 2024","154","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","31","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:35 GMT 2024","802","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Mon Apr 08 14:31:34 GMT 2024","Mon Apr 08 14:33:10 GMT 2024","95527","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","40","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Mon Apr 08 14:33:33 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","378","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","69","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:34 GMT 2024","243","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Mon Apr 08 14:33:35 GMT 2024","Mon Apr 08 14:33:35 GMT 2024","180","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Mon Apr 08 14:33:35 GMT 2024","Mon Apr 08 14:33:36 GMT 2024","425","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Mon Apr 08 14:33:34 GMT 2024","Mon Apr 08 14:33:35 GMT 2024","755","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
