"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 16:39:41 GMT 2024","Sun Mar 31 16:39:41 GMT 2024","42","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Sun Mar 31 16:44:37 GMT 2024","Sun Mar 31 16:44:50 GMT 2024","13211","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Администратором, создание проекта и его удаление"
"passed","Sun Mar 31 16:44:36 GMT 2024","Sun Mar 31 16:44:52 GMT 2024","15737","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Администратором","Авторизация Администратором и создание проекта"
"passed","Sun Mar 31 16:39:43 GMT 2024","Sun Mar 31 16:39:43 GMT 2024","5","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Sun Mar 31 16:45:05 GMT 2024","Sun Mar 31 16:45:14 GMT 2024","8193","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Администратором, создание проекта и его удаление"
"passed","Sun Mar 31 16:39:40 GMT 2024","Sun Mar 31 16:39:41 GMT 2024","1973","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Sun Mar 31 16:39:43 GMT 2024","Sun Mar 31 16:39:51 GMT 2024","8610","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"passed","Sun Mar 31 16:44:10 GMT 2024","Sun Mar 31 16:44:20 GMT 2024","9888","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Администратором","Авторизация Администратором и создание проекта"
"passed","Sun Mar 31 16:46:03 GMT 2024","Sun Mar 31 16:46:11 GMT 2024","7497","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Sun Mar 31 16:39:42 GMT 2024","Sun Mar 31 16:39:42 GMT 2024","251","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Sun Mar 31 16:39:43 GMT 2024","Sun Mar 31 16:39:43 GMT 2024","164","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Sun Mar 31 16:45:43 GMT 2024","Sun Mar 31 16:45:57 GMT 2024","13989","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Sun Mar 31 16:36:16 GMT 2024","Sun Mar 31 16:39:31 GMT 2024","194089","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"passed","Sun Mar 31 16:39:43 GMT 2024","Sun Mar 31 16:39:43 GMT 2024","100","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"passed","Sun Mar 31 16:39:52 GMT 2024","Sun Mar 31 16:39:52 GMT 2024","227","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"passed","Sun Mar 31 16:39:42 GMT 2024","Sun Mar 31 16:39:42 GMT 2024","117","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"passed","Sun Mar 31 16:39:42 GMT 2024","Sun Mar 31 16:39:42 GMT 2024","192","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
