"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 12:54:32 GMT 2024","Thu Mar 28 12:54:32 GMT 2024","7","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Thu Mar 28 12:54:32 GMT 2024","Thu Mar 28 12:54:32 GMT 2024","244","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"failed","Thu Mar 28 12:57:18 GMT 2024","Thu Mar 28 12:57:50 GMT 2024","31554","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Thu Mar 28 12:54:37 GMT 2024","Thu Mar 28 12:55:00 GMT 2024","22697","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"failed","Thu Mar 28 12:56:28 GMT 2024","Thu Mar 28 12:57:01 GMT 2024","33298","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"failed","Thu Mar 28 12:55:15 GMT 2024","Thu Mar 28 12:55:46 GMT 2024","31259","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Thu Mar 28 12:54:29 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","1668","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"failed","Thu Mar 28 12:57:37 GMT 2024","Thu Mar 28 12:58:08 GMT 2024","30963","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Thu Mar 28 12:54:32 GMT 2024","Thu Mar 28 12:54:32 GMT 2024","24","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Thu Mar 28 12:54:31 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","110","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"failed","Thu Mar 28 12:55:05 GMT 2024","Thu Mar 28 12:55:37 GMT 2024","32442","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Thu Mar 28 12:54:31 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","63","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"passed","Thu Mar 28 12:54:31 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","62","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Thu Mar 28 12:55:39 GMT 2024","Thu Mar 28 12:56:14 GMT 2024","34478","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"failed","Thu Mar 28 12:55:00 GMT 2024","Thu Mar 28 12:55:33 GMT 2024","32771","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Thu Mar 28 12:52:53 GMT 2024","Thu Mar 28 12:54:25 GMT 2024","92164","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"failed","Thu Mar 28 12:55:57 GMT 2024","Thu Mar 28 12:56:34 GMT 2024","36605","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Thu Mar 28 12:54:31 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","168","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"passed","Thu Mar 28 12:54:31 GMT 2024","Thu Mar 28 12:54:31 GMT 2024","42","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Thu Mar 28 12:54:32 GMT 2024","Thu Mar 28 12:54:32 GMT 2024","8","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
