"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 29 06:38:09 GMT 2024","Fri Mar 29 06:38:10 GMT 2024","1434","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Fri Mar 29 06:38:10 GMT 2024","Fri Mar 29 06:38:10 GMT 2024","203","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Fri Mar 29 06:38:10 GMT 2024","Fri Mar 29 06:38:10 GMT 2024","75","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Fri Mar 29 06:38:59 GMT 2024","Fri Mar 29 06:39:46 GMT 2024","46316","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Fri Mar 29 06:40:08 GMT 2024","Fri Mar 29 06:40:23 GMT 2024","14465","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Администратором","Авторизация Администратором и создание проекта"
"passed","Fri Mar 29 06:38:35 GMT 2024","Fri Mar 29 06:39:06 GMT 2024","31355","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Fri Mar 29 06:40:39 GMT 2024","Fri Mar 29 06:40:56 GMT 2024","16365","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Администратором, создание проекта и его удаление"
"passed","Fri Mar 29 06:38:09 GMT 2024","Fri Mar 29 06:38:10 GMT 2024","832","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Fri Mar 29 06:41:16 GMT 2024","Fri Mar 29 06:41:21 GMT 2024","5124","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Fri Mar 29 06:40:03 GMT 2024","Fri Mar 29 06:40:20 GMT 2024","16800","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Fri Mar 29 06:36:34 GMT 2024","Fri Mar 29 06:38:04 GMT 2024","90788","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"passed","Fri Mar 29 06:38:10 GMT 2024","Fri Mar 29 06:38:10 GMT 2024","250","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Fri Mar 29 06:39:36 GMT 2024","Fri Mar 29 06:39:52 GMT 2024","16060","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Администратором","Авторизация Администратором и создание проекта"
