"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 28 12:06:02 GMT 2024","Thu Mar 28 12:06:07 GMT 2024","4974","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"failed","Thu Mar 28 12:05:21 GMT 2024","Thu Mar 28 12:06:02 GMT 2024","41288","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Thu Mar 28 12:05:11 GMT 2024","Thu Mar 28 12:05:12 GMT 2024","1603","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Thu Mar 28 12:06:31 GMT 2024","Thu Mar 28 12:06:58 GMT 2024","26194","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Thu Mar 28 12:05:13 GMT 2024","Thu Mar 28 12:05:13 GMT 2024","528","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"passed","Thu Mar 28 12:05:13 GMT 2024","Thu Mar 28 12:05:13 GMT 2024","173","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Thu Mar 28 12:05:13 GMT 2024","Thu Mar 28 12:05:13 GMT 2024","129","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"passed","Thu Mar 28 12:08:23 GMT 2024","Thu Mar 28 12:08:33 GMT 2024","9968","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"passed","Thu Mar 28 12:05:12 GMT 2024","Thu Mar 28 12:05:13 GMT 2024","103","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Thu Mar 28 12:05:13 GMT 2024","Thu Mar 28 12:05:13 GMT 2024","195","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
