"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","61","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","125","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","50","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Mon Apr 08 11:49:45 GMT 2024","Mon Apr 08 11:51:17 GMT 2024","91712","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","71","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Mon Apr 08 11:51:39 GMT 2024","Mon Apr 08 11:51:39 GMT 2024","101","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","44","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 11:51:38 GMT 2024","Mon Apr 08 11:51:38 GMT 2024","47","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
