"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"passed","Tue Mar 26 11:56:53 GMT 2024","Tue Mar 26 11:58:23 GMT 2024","89872","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"broken","Tue Mar 26 11:58:40 GMT 2024","Tue Mar 26 11:58:40 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:36 GMT 2024","Tue Mar 26 11:58:36 GMT 2024","0","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"broken","Tue Mar 26 11:58:41 GMT 2024","Tue Mar 26 11:58:41 GMT 2024","0","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"broken","Tue Mar 26 11:58:36 GMT 2024","Tue Mar 26 11:58:36 GMT 2024","0","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"broken","Tue Mar 26 11:58:40 GMT 2024","Tue Mar 26 11:58:40 GMT 2024","0","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Tue Mar 26 11:58:41 GMT 2024","Tue Mar 26 11:58:41 GMT 2024","0","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"broken","Tue Mar 26 11:58:32 GMT 2024","Tue Mar 26 11:58:32 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:35 GMT 2024","Tue Mar 26 11:58:35 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Невозможность создания билд конфигурации с одинаковыми данными","Проверяется валидация DuplicateExternalIdException при повторном создании билд конфигурации с существующими данными"
"broken","Tue Mar 26 11:58:27 GMT 2024","Tue Mar 26 11:58:27 GMT 2024","0","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
