"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 19:38:46 GMT 2024","Tue Mar 26 19:38:46 GMT 2024","4","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Tue Mar 26 19:38:45 GMT 2024","Tue Mar 26 19:38:46 GMT 2024","141","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Tue Mar 26 19:41:36 GMT 2024","Tue Mar 26 19:41:53 GMT 2024","17231","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"passed","Tue Mar 26 19:39:13 GMT 2024","Tue Mar 26 19:39:43 GMT 2024","29681","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Tue Mar 26 19:38:51 GMT 2024","Tue Mar 26 19:39:17 GMT 2024","26274","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 19:39:48 GMT 2024","Tue Mar 26 19:40:43 GMT 2024","55471","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Tue Mar 26 19:41:21 GMT 2024","Tue Mar 26 19:41:58 GMT 2024","36686","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Tue Mar 26 19:40:20 GMT 2024","Tue Mar 26 19:40:50 GMT 2024","30252","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"passed","Tue Mar 26 19:38:51 GMT 2024","Tue Mar 26 19:39:14 GMT 2024","22653","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 19:41:28 GMT 2024","Tue Mar 26 19:41:48 GMT 2024","20145","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Tue Mar 26 19:40:46 GMT 2024","Tue Mar 26 19:41:11 GMT 2024","24789","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Tue Mar 26 19:40:43 GMT 2024","Tue Mar 26 19:41:06 GMT 2024","22913","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Tue Mar 26 19:38:45 GMT 2024","Tue Mar 26 19:38:46 GMT 2024","204","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Tue Mar 26 19:40:26 GMT 2024","Tue Mar 26 19:40:59 GMT 2024","32746","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
