"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 18:36:14 GMT 2024","Sun Mar 24 18:36:48 GMT 2024","33784","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"passed","Sun Mar 24 18:36:05 GMT 2024","Sun Mar 24 18:36:06 GMT 2024","167","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Sun Mar 24 18:36:42 GMT 2024","Sun Mar 24 18:37:12 GMT 2024","29978","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Sun Mar 24 18:36:14 GMT 2024","Sun Mar 24 18:36:40 GMT 2024","25973","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:37:52 GMT 2024","Sun Mar 24 18:38:22 GMT 2024","30781","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:36:03 GMT 2024","Sun Mar 24 18:36:05 GMT 2024","1674","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Sun Mar 24 18:38:36 GMT 2024","Sun Mar 24 18:39:06 GMT 2024","29640","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:39:00 GMT 2024","Sun Mar 24 18:39:27 GMT 2024","26245","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"broken","Sun Mar 24 18:36:40 GMT 2024","Sun Mar 24 18:37:45 GMT 2024","64696","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Sun Mar 24 18:37:49 GMT 2024","Sun Mar 24 18:38:20 GMT 2024","31602","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Sun Mar 24 18:36:05 GMT 2024","Sun Mar 24 18:36:05 GMT 2024","351","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Невозможность создания билд конфигурации с одинаковыми данными","Проверяется валидация DuplicateExternalIdException при повторном создании билд конфигурации с существующими данными"
"passed","Sun Mar 24 18:37:19 GMT 2024","Sun Mar 24 18:37:50 GMT 2024","30693","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:38:37 GMT 2024","Sun Mar 24 18:39:06 GMT 2024","29674","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:36:05 GMT 2024","Sun Mar 24 18:36:06 GMT 2024","217","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Sun Mar 24 18:36:06 GMT 2024","Sun Mar 24 18:36:06 GMT 2024","176","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"passed","Sun Mar 24 18:36:03 GMT 2024","Sun Mar 24 18:36:05 GMT 2024","1663","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Sun Mar 24 18:36:06 GMT 2024","Sun Mar 24 18:36:06 GMT 2024","284","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Sun Mar 24 18:36:45 GMT 2024","Sun Mar 24 18:37:15 GMT 2024","30289","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"passed","Sun Mar 24 18:37:18 GMT 2024","Sun Mar 24 18:37:49 GMT 2024","30574","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Sun Mar 24 18:36:05 GMT 2024","Sun Mar 24 18:36:05 GMT 2024","267","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
