"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 17:50:43 GMT 2024","Sun Mar 31 17:50:43 GMT 2024","5","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Sun Mar 31 17:50:42 GMT 2024","Sun Mar 31 17:50:42 GMT 2024","46","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Sun Mar 31 17:50:43 GMT 2024","Sun Mar 31 17:50:43 GMT 2024","128","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Sun Mar 31 17:50:43 GMT 2024","Sun Mar 31 17:50:49 GMT 2024","6001","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"passed","Sun Mar 31 17:53:50 GMT 2024","Sun Mar 31 17:53:55 GMT 2024","4788","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Sun Mar 31 17:50:42 GMT 2024","Sun Mar 31 17:50:42 GMT 2024","359","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Невозможность создания билд конфигурации с одинаковыми данными","Проверяется валидация DuplicateExternalIdException при повторном создании билд конфигурации с существующими данными"
"passed","Sun Mar 31 17:50:42 GMT 2024","Sun Mar 31 17:50:42 GMT 2024","174","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Sun Mar 31 17:53:08 GMT 2024","Sun Mar 31 17:53:22 GMT 2024","14015","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Администратором, создание проекта и его удаление"
"passed","Sun Mar 31 17:50:43 GMT 2024","Sun Mar 31 17:50:43 GMT 2024","124","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Sun Mar 31 17:53:31 GMT 2024","Sun Mar 31 17:53:44 GMT 2024","12452","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Sun Mar 31 17:52:30 GMT 2024","Sun Mar 31 17:52:43 GMT 2024","13499","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Администратором","Авторизация Администратором и создание проекта"
"passed","Sun Mar 31 17:50:40 GMT 2024","Sun Mar 31 17:50:42 GMT 2024","1965","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"passed","Sun Mar 31 17:50:43 GMT 2024","Sun Mar 31 17:50:43 GMT 2024","119","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
