"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 26 19:30:15 GMT 2024","Tue Mar 26 19:30:29 GMT 2024","14149","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Tue Mar 26 19:28:29 GMT 2024","Tue Mar 26 19:28:30 GMT 2024","155","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"failed","Tue Mar 26 19:28:53 GMT 2024","Tue Mar 26 19:29:06 GMT 2024","13089","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"passed","Tue Mar 26 19:28:23 GMT 2024","Tue Mar 26 19:28:23 GMT 2024","684","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка отсутствия прав на создание билд конфигурации","Проверяется невозможность создания билд конфигурации под определёнными ролями"
"failed","Tue Mar 26 19:28:57 GMT 2024","Tue Mar 26 19:29:10 GMT 2024","13142","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"failed","Tue Mar 26 19:31:19 GMT 2024","Tue Mar 26 19:31:31 GMT 2024","11658","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
"failed","Tue Mar 26 19:29:15 GMT 2024","Tue Mar 26 19:29:32 GMT 2024","16743","UI тесты","Управление билд конфигурациями","Cоздание билд конфигурации","","","Cоздание билд конфигурации и шага в билде Супер Администратором","Авторизация Супер Администратором, создание проекта, билд конфигурации и шага в командной строке"
"passed","Tue Mar 26 19:28:24 GMT 2024","Tue Mar 26 19:28:24 GMT 2024","68","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"broken","Tue Mar 26 19:29:06 GMT 2024","Tue Mar 26 19:31:19 GMT 2024","133048","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 19:28:24 GMT 2024","Tue Mar 26 19:28:24 GMT 2024","4","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Tue Mar 26 19:30:05 GMT 2024","Tue Mar 26 19:30:29 GMT 2024","24346","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"failed","Tue Mar 26 19:29:35 GMT 2024","Tue Mar 26 19:29:48 GMT 2024","13375","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
