"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","10","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","8","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","65","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","48","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Mon Apr 08 13:41:22 GMT 2024","Mon Apr 08 13:42:51 GMT 2024","89727","Сетап для первого запуска TeamCity","test_set_up","","","","Сетап","Сетап для проверки правильности настройки тестовой среды:принятие пользовательского соглашения,инициализация БД,создание пользователя с ролью Администратор"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","22","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","42","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","83","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","63","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","74","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","8","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"broken","Mon Apr 08 13:43:14 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","456","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","46","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"broken","Mon Apr 08 13:43:15 GMT 2024","Mon Apr 08 13:43:15 GMT 2024","70","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
