"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 17:16:55 GMT 2024","Tue Mar 26 17:17:25 GMT 2024","29848","UI тесты","Управление проектами","Удаление проекта","","","Удаление проекта под Супер Администратором","Авторизация Супер Администратором, создание проекта и его удаление"
"passed","Tue Mar 26 17:15:12 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","317","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Невозможность создания билд конфигурации с одинаковыми данными","Проверяется валидация DuplicateExternalIdException при повторном создании билд конфигурации с существующими данными"
"passed","Tue Mar 26 17:15:12 GMT 2024","Tue Mar 26 17:15:12 GMT 2024","121","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Tue Mar 26 17:18:17 GMT 2024","Tue Mar 26 17:18:31 GMT 2024","13954","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:18 GMT 2024","5100","API тесты","Управление запусками билдов","Запуск билда","","","Проверка запуска билда","Проверяется запуск и успешная работа билда"
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","15","API тесты","Управление проектами","Негативные сценарии","","","Невозможность создания проекта с пустыми атрибутами","Проверяется валидация с пустыми атрибутами проекта"
"passed","Tue Mar 26 17:16:26 GMT 2024","Tue Mar 26 17:16:55 GMT 2024","29580","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","70","API тесты","Управление проектами","Негативные сценарии","","","Проверка невозможности создания проектов с одинаковыми данными","Проверяется валидация DuplicateProjectNameException при повторном создании проекта с существующими данными"
"passed","Tue Mar 26 17:17:40 GMT 2024","Tue Mar 26 17:18:01 GMT 2024","20920","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","270","API тесты","Управление проектами","Создание проекта","","","Проверка создания проекта","Проверяется создание проекта и пополнение в общем списке проектов"
"passed","Tue Mar 26 17:17:24 GMT 2024","Tue Mar 26 17:17:45 GMT 2024","20367","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Tue Mar 26 17:15:23 GMT 2024","Tue Mar 26 17:15:45 GMT 2024","22454","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 17:15:12 GMT 2024","Tue Mar 26 17:15:12 GMT 2024","76","API тесты","Управление билд конфигурациями","Негативные сценарии","","","Проверка невозможности создания билд конфигурации","Проверяется валидация с пустыми атрибутами билд конфигурации"
"passed","Tue Mar 26 17:16:51 GMT 2024","Tue Mar 26 17:17:24 GMT 2024","33375","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"passed","Tue Mar 26 17:15:53 GMT 2024","Tue Mar 26 17:16:17 GMT 2024","23850","UI тесты","Управление проектами","Создание проекта","","","Cоздание проекта под Супер Администратором","Авторизация Супер Администратором и создание проекта"
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","142","API тесты","Управление проектами","Негативные сценарии","","","Проверка отсутствия прав на создание проекта","Проверяется невозможность создания проекта под определенными ролями"
"passed","Tue Mar 26 17:15:11 GMT 2024","Tue Mar 26 17:15:13 GMT 2024","1535","API тесты","Управление билд конфигурациями","Создание билд конфигурации","","","Проверка создания билд конфигурации","Проверяется создание билд конфигурации"
"passed","Tue Mar 26 17:15:23 GMT 2024","Tue Mar 26 17:15:53 GMT 2024","30191","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"broken","Tue Mar 26 17:16:58 GMT 2024","Tue Mar 26 17:18:50 GMT 2024","112438","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 17:17:52 GMT 2024","Tue Mar 26 17:18:12 GMT 2024","20725","UI тесты","Проверка футера","Футер","","","Авторизация под разными ролями и проверка ссылок в футере",""
"passed","Tue Mar 26 17:15:53 GMT 2024","Tue Mar 26 17:16:20 GMT 2024","27517","UI тесты","Управление запусками билдов","Запуск билда","","","Cоздание проекта, билд конфигурации, шага и запуск билда","Авторизация Супер Администратором, создание проекта, билд конфигурации, шага в командной строке и запуск билда"
"passed","Tue Mar 26 17:15:13 GMT 2024","Tue Mar 26 17:15:14 GMT 2024","209","API тесты","Управление запусками билдов","Негативные сценарии","","","Проверка невозможности запуска билда с невалидным id билд конфигурации",""
"passed","Tue Mar 26 17:18:01 GMT 2024","Tue Mar 26 17:18:17 GMT 2024","15514","UI тесты","Управление билд конфигурациями","Удаление билд конфигурации","","","Удаление билд конфигурации под Супер Администратором","Авторизация Супер Администратором, создание проекта, билда и удаление билда"
